"time","h1","h2","tRun","der(h1)","der(h2)","der(tRun)","tMark","seq","paused","shutting","valve1","valve2","valve3"
114,0.5199999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
115,0.5249999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
116,0.5299999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
117,0.5349999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
118,0.5399999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
119,0.5449999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
120,0.5499999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
121,0.5549999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
122,0.5599999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
123,0.5649999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
124,0.5699999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
125,0.5749999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
126,0.5799999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
127,0.5849999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
128,0.5899999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
129,0.5949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
130,0.5999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
131,0.6049999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
132,0.6099999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
133,0.6149999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
134,0.6199999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
135,0.6249999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
136,0.6299999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
137,0.6349999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
138,0.6399999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
139,0.6449999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
140,0.6499999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
141,0.6549999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
142,0.6599999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
143,0.6649999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
144,0.6699999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
145,0.6749999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
146,0.6799999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
147,0.6849999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
148,0.6899999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
149,0.6949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
150,0.6999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
151,0.7049999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
152,0.7099999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
153,0.7149999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
154,0.7199999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
155,0.7249999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
156,0.7299999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
157,0.7349999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
158,0.7399999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
159,0.7449999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
160,0.7499999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
161,0.7549999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
162,0.7599999999799973,0.05,0,0.005,0,0,0,2,0,0,1,0,0
163,0.7649999999799975,0.05,0,0.005,0,0,0,2,0,0,1,0,0
164,0.7699999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
165,0.7749999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
166,0.7799999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
167,0.7849999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
168,0.7899999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
169,0.7949999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
170,0.7999999999799974,0.05,0,0.005,0,0,0,2,0,0,1,0,0
170.0000000400009,0.8000000001800018,0.05,0,0.005,0,0,0,2,0,0,1,0,0
170.0000000400009,0.8000000001800018,0.05,0,0,0,1,0,3,0,0,0,0,0
171,0.8000000001800018,0.05,0.9999999599991161,0,0,1,0,3,0,0,0,0,0
172,0.8000000001800018,0.05,1.999999959999118,0,0,1,0,3,0,0,0,0,0
173,0.8000000001800018,0.05,2.999999959999118,0,0,1,0,3,0,0,0,0,0
174,0.8000000001800018,0.05,3.999999959999121,0,0,1,0,3,0,0,0,0,0
175,0.8000000001800018,0.05,4.999999959999121,0,0,1,0,3,0,0,0,0,0
176,0.8000000001800018,0.05,5.999999959999121,0,0,1,0,3,0,0,0,0,0
177,0.8000000001800018,0.05,6.999999959999121,0,0,1,0,3,0,0,0,0,0
178,0.8000000001800018,0.05,7.999999959999128,0,0,1,0,3,0,0,0,0,0
179,0.8000000001800018,0.05,8.999999959999128,0,0,1,0,3,0,0,0,0,0
180,0.8000000001800018,0.05,9.999999959999128,0,0,1,0,3,0,0,0,0,0
180.0000000420032,0.8000000001800018,0.05,10.00000000200232,0,0,1,0,3,0,0,0,0,0
180.0000000420032,0.8000000001800018,0.05,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
181,0.7962500003375139,0.05321428557927545,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
182,0.7925000003375139,0.05642857129356112,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
183,0.788750000337514,0.05964285700784683,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
184,0.7850000003375139,0.06285714272213257,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
185,0.7812500003375139,0.06607142843641828,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
186,0.7775000003375139,0.069285714150704,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
187,0.773750000337514,0.07249999986498971,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
188,0.7700000003375138,0.07571428557927544,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
189,0.7662500003375139,0.07892857129356115,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
190,0.7625000003375139,0.08214285700784688,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
191,0.7587500003375138,0.08535714272213259,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
192,0.7550000003375139,0.0885714284364183,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
193,0.7512500003375139,0.09178571415070401,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
194,0.7475000003375138,0.09499999986498972,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
195,0.7437500003375138,0.09821428557927545,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
196,0.7400000003375138,0.1014285712935612,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
197,0.7362500003375138,0.1046428570078469,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
198,0.7325000003375138,0.1078571427221326,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
199,0.7287500003375138,0.1110714284364183,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
200,0.7250000003375138,0.114285714150704,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
201,0.7212500003375137,0.1174999998649897,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
202,0.7175000003375138,0.1207142855792755,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
203,0.7137500003375138,0.1239285712935612,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
204,0.7100000003375138,0.1271428570078469,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
205,0.7062500003375138,0.1303571427221326,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
206,0.7025000003375138,0.1335714284364183,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
207,0.6987500003375138,0.136785714150704,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
208,0.6950000003375137,0.1399999998649897,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
209,0.6912500003375138,0.1432142855792755,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
210,0.6875000003375138,0.1464285712935612,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
211,0.6837500003375138,0.1496428570078469,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
212,0.6800000003375137,0.1528571427221326,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
213,0.6762500003375138,0.1560714284364183,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
214,0.6725000003375138,0.159285714150704,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
215,0.6687500003375138,0.1624999998649897,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
216,0.6650000003375137,0.1657142855792754,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
217,0.6612500003375138,0.1689285712935611,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
218,0.6575000003375138,0.1721428570078469,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
219,0.6537500003375137,0.1753571427221326,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
220,0.6500000003375137,0.1785714284364183,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
220.0000000440014,0.6500000001725085,0.1785714285778514,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
220.0000000440014,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
221,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
222,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
223,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
224,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
225,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
226,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
227,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
228,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
229,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
230,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
231,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
232,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
233,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
234,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
235,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
236,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
237,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
238,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
239,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
240,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
241,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
242,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
243,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
244,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
245,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
246,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
247,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
248,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
249,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
250,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
251,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
252,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
253,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
254,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
255,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
256,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
257,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
258,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
259,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
260,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
261,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
262,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
263,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
264,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
265,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
266,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
267,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
268,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
269,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
270,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
271,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
272,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
273,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
274,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
275,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
276,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
277,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
278,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
279,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
280,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
280.0000000560021,0.6500000001725085,0.1785714285778514,10.00000000200232,0,0,0,0,4,1,0,0,0,0
280.0000000560021,0.6500000001725085,0.1785714285778514,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
281,0.6462500003825163,0.1817857141121304,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
282,0.6425000003825164,0.184999999826416,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
283,0.6387500003825165,0.1882142855407017,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
284,0.6350000003825164,0.1914285712549875,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
285,0.6312500003825163,0.1946428569692732,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
286,0.6275000003825163,0.1978571426835589,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
287,0.6237500003825164,0.2010714283978446,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
288,0.6200000003825165,0.2042857141121303,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
289,0.6162500003825164,0.207499999826416,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
290,0.6125000003825165,0.2107142855407017,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
291,0.6087500003825165,0.2139285712549874,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
292,0.6050000003825164,0.2171428569692731,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
293,0.6012500003825165,0.2203571426835588,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
294,0.5975000003825165,0.2235714283978446,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
295,0.5937500003825165,0.2267857141121302,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
296,0.5900000003825165,0.229999999826416,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
297,0.5862500003825165,0.2332142855407017,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
298,0.5825000003825165,0.2364285712549874,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
299,0.5787500003825166,0.2396428569692731,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
300,0.5750000003825165,0.2428571426835588,10.00000000200232,-0.00375,0.003214285714285714,0,0,4,0,0,0,1,0
